case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
1,DZA,Algeria,1870,1,0.052264,0,0,0.0,3.441455696,0,0,0,crisis
1,DZA,Algeria,1871,0,0.052798,0,0,0.0,14.14913958,0,0,0,no_crisis
1,DZA,Algeria,1872,0,0.052274,0,0,0.0,-3.718592965,0,0,0,no_crisis
1,DZA,Algeria,1873,0,0.05168,0,0,0.0,11.20389701,0,0,0,no_crisis
1,DZA,Algeria,1874,0,0.051308,0,0,0.0,-3.848560701,0,0,0,no_crisis
